Ngay,LoaiVang,GiaMua,GiaBan,KhoiLuongGiaoDich,TyGiaUSD,DiaDiem
2024-06-07,DOJI,74419282.0,75207632.0,230.0,22787.0,HN
2024-03-22,DOJI,76403110.0,77082745.0,328.0,23100.0,HCM
2024-05-23,SJC,75829045.0,76559142.0,450.0,22785.0,HN
2024-01-27,PNJ,73362557.0,74007547.0,201.0,23322.0,DN
2024-01-21,SJC,74178049.0,75661098.0,361.0,23297.0,DN
2024-01-17,SJC,74990546.0,76444989.0,314.0,22954.0,HCM
2024-05-06,BTMC,73002429.0,74063037.0,68.0,22694.0,HCM
2024-06-14,SJC,73118920.0,74025467.0,489.0,22710.0,DN
2024-03-26,BTMC,73706533.0,74927570.0,149.0,23000.0,DN
2024-04-29,DOJI,75395834.0,75955612.0,315.0,22597.0,HN
2024-03-28,PNJ,73253704.0,73956139.0,117.0,23487.0,HCM
2024-03-11,DOJI,72941214.0,74080555.0,277.0,23150.0,HN
2024-03-18,PNJ,75334418.0,76715638.0,398.0,23331.0,HN
2024-04-05,BTMC,74471465.0,75636394.0,465.0,22608.0,HN
2024-02-14,SJC,73326916.0,74278894.0,492.0,22725.0,HCM
2024-06-16,PNJ,73301125.0,74090510.0,96.0,22680.0,HCM
2024-02-09,BTMC,72612121.0,73430541.0,135.0,22749.0,DN
2024-02-12,DOJI,73712727.0,74712449.0,111.0,23344.0,HN
2024-02-14,PNJ,74225690.0,74860734.0,225.0,23101.0,HN
2024-04-26,DOJI,75230865.0,76558625.0,388.0,22542.0,HN
2024-06-18,PNJ,74159461.0,74928816.0,249.0,23163.0,DN
2024-01-29,DOJI,76606503.0,77798022.0,455.0,23071.0,HN
2024-04-02,BTMC,74480547.0,75474725.0,478.0,22874.0,DN
2024-03-30,SJC,76681109.0,78145184.0,243.0,23483.0,HN
2024-05-09,DOJI,75167322.0,75994391.0,284.0,23397.0,DN
2024-06-12,DOJI,73397578.0,74468880.0,103.0,22843.0,DN
2024-06-12,DOJI,74588220.0,75954210.0,95.0,23299.0,HN
2024-02-20,DOJI,76158705.0,77310111.0,155.0,23386.0,DN
2024-01-03,BTMC,72586146.0,73215458.0,428.0,23272.0,DN
2024-05-18,BTMC,72831257.0,74129038.0,53.0,22722.0,HN
2024-02-20,SJC,74359507.0,75157139.0,251.0,23435.0,DN
2024-04-21,SJC,76558646.0,77477104.0,83.0,22998.0,HN
2024-03-26,PNJ,73127220.0,74616630.0,362.0,23128.0,HCM
2024-02-29,BTMC,75260521.0,76732716.0,207.0,23157.0,DN
2024-03-15,SJC,75253722.0,76354875.0,474.0,22611.0,DN
2024-04-22,SJC,74133276.0,75613823.0,246.0,22755.0,HCM
2024-03-18,PNJ,73269097.0,74187592.0,310.0,22855.0,DN
2024-04-09,BTMC,74491749.0,75975887.0,404.0,23083.0,HCM
2024-05-08,PNJ,73667272.0,75084534.0,436.0,22638.0,DN
2024-02-26,SJC,73079141.0,73591256.0,200.0,22883.0,DN
2024-04-10,SJC,73159292.0,74136558.0,172.0,22857.0,HCM
2024-02-10,DOJI,75347500.0,76057517.0,180.0,23304.0,HCM
2024-04-16,BTMC,75194795.0,76670884.0,53.0,23101.0,DN
2024-03-14,BTMC,74398083.0,75142922.0,273.0,23331.0,DN
2024-05-21,DOJI,73539574.0,74965341.0,367.0,22906.799909255897,HN
2024-02-05,DOJI,76040642.0,77429944.0,168.0,22895.0,DN
2024-05-04,PNJ,74965912.0,76440120.0,151.0,22537.0,HN
2024-03-18,SJC,74071860.0,75550694.0,475.0,23046.0,DN
2024-05-26,DOJI,72907524.0,73625830.0,491.0,22906.799909255897,DN
2024-02-26,SJC,74055146.0,74886075.0,456.0,22927.0,HCM
2024-06-17,PNJ,73691890.0,74439989.0,483.0,23255.0,HCM
2024-01-12,DOJI,76059360.0,77556999.0,102.0,23071.0,HCM
2024-03-09,DOJI,74036180.0,75076520.0,387.0,23496.0,HN
2024-06-28,PNJ,74524611.0,75274842.0,190.0,22767.0,HN
2024-06-26,SJC,73292007.0,74558729.0,422.0,22854.0,HN
2024-04-15,PNJ,74239957.0,75056232.0,73.0,23040.0,DN
2024-04-15,BTMC,75757454.0,76374295.0,320.0,23474.0,DN
2024-05-04,DOJI,75222355.0,76393669.0,340.0,23463.0,HCM
2024-02-03,SJC,75412149.0,76068138.0,112.0,23200.0,DN
2024-06-05,BTMC,-4332006.0,75721731.0,76.0,22810.0,DN
2024-06-22,DOJI,73055493.0,74159604.0,329.0,22931.0,DN
2024-06-20,PNJ,73917158.0,75204514.0,172.0,23378.0,DN
2024-06-30,DOJI,76283978.0,77094787.0,432.0,22614.0,HCM
2024-02-09,BTMC,75006316.0,76022458.0,337.0,23277.0,HN
2024-01-16,BTMC,75331869.0,76730189.0,418.0,22561.0,HN
2024-05-22,SJC,75806284.0,77108632.0,176.0,23437.0,DN
2024-06-20,DOJI,72890140.0,74388490.0,84.0,23017.0,HCM
2024-04-26,PNJ,72812863.0,73442750.0,177.0,22906.799909255897,DN
2024-01-18,DOJI,73194540.0,74572239.0,341.0,22569.0,HCM
2024-03-28,SJC,75664912.0,77000781.0,314.0,22819.0,HN
2024-01-09,PNJ,73377844.0,74357891.0,453.0,23003.0,DN
2024-01-09,DOJI,73739903.0,74368294.0,184.0,22694.0,HN
2024-04-08,DOJI,75147029.0,76600721.0,263.0,23182.0,HCM
2024-04-16,SJC,75211549.0,75960101.0,211.0,22920.0,HN
2024-05-08,SJC,74337768.0,,413.0,23446.0,DN
2024-04-06,BTMC,73969710.0,74882521.0,295.0,23160.0,DN
2024-01-30,BTMC,73538601.0,74519304.0,64.0,23122.0,HN
2024-04-24,DOJI,76797618.0,78231711.0,234.0,22881.0,HN
2024-04-11,DOJI,75542974.0,76389345.0,272.0,22558.0,HCM
2024-04-24,BTMC,73445065.0,74647560.0,492.0,22661.0,DN
2024-04-03,DOJI,74980707.0,76133374.0,466.0,23419.0,HN
2024-06-30,SJC,76043006.0,77315274.0,56.0,22654.0,DN
2024-02-18,DOJI,73083707.0,74540552.0,194.0,23104.0,HN
2024-02-10,SJC,73204615.0,74181272.0,364.0,23226.0,DN
2024-05-23,SJC,74738460.0,75728169.0,143.0,22837.0,DN
2024-06-09,BTMC,72502264.0,73202681.0,225.0,23287.0,HCM
2024-05-28,BTMC,72792330.0,73572869.0,157.0,23343.0,HCM
2024-04-15,SJC,73062507.0,73619641.0,102.0,23085.0,HN
2024-05-10,PNJ,74346585.0,75710316.0,258.0,22854.0,HN
2024-05-10,BTMC,,75002531.0,473.0,23412.0,HCM
2024-04-26,SJC,73428276.0,74323030.0,386.0,23074.0,HCM
2024-05-10,SJC,76308972.0,77261385.0,344.0,22979.0,DN
2024-01-23,BTMC,72628861.0,73558663.0,92.0,23251.0,DN
2024-02-18,BTMC,75816339.0,76963040.0,64.0,22652.0,DN
2024-03-18,DOJI,76734999.0,77303919.0,149.0,23337.0,DN
2024-02-24,PNJ,72905804.0,74313986.0,352.0,22786.0,DN
2024-01-13,DOJI,73868632.0,74545247.0,286.0,22906.799909255897,DN
2024-05-25,DOJI,73220539.0,74229960.0,132.0,22685.0,DN
2024-02-26,DOJI,74349302.0,75527858.0,401.0,22857.0,HN
2024-06-28,DOJI,73647516.0,74847113.0,228.0,22696.0,DN
2024-03-29,PNJ,73504001.0,74316024.0,114.0,22507.0,HN
2024-01-11,DOJI,74241578.0,75475007.0,225.0,22538.0,HN
2024-01-31,BTMC,75124071.0,76224684.0,183.0,23211.0,DN
2024-04-25,PNJ,73428660.0,74070840.0,151.0,23252.0,HCM
2024-03-25,DOJI,75493956.0,76180943.0,188.0,23361.0,HCM
2024-01-09,BTMC,73911221.0,74810332.0,332.0,22526.0,DN
2024-03-15,DOJI,73082017.0,74146677.0,426.0,22519.0,HN
2024-06-02,SJC,73759401.0,75196506.0,320.0,22923.0,HCM
2024-05-16,BTMC,72439439.0,72964956.0,367.0,23246.0,HCM
2024-01-26,PNJ,73270173.0,74342376.0,74.0,22644.0,HCM
2024-04-14,SJC,76881857.0,77725424.0,186.0,22828.0,HCM
2024-01-19,PNJ,76138462.0,77393657.0,418.0,22908.0,HCM
2024-01-19,PNJ,74368599.0,75082519.0,272.0,22616.0,DN
2024-01-21,BTMC,73995269.0,74770176.0,246.0,23362.0,HCM
2024-05-17,PNJ,75631603.0,76829751.0,283.0,22964.0,HN
2024-06-26,DOJI,73940449.0,74506205.0,452.0,23418.0,HN
2024-05-29,PNJ,75939289.0,76789453.0,233.0,22994.0,HN
2024-01-21,BTMC,75810948.0,76546313.0,308.0,22936.0,DN
2024-01-26,PNJ,76220464.0,76815926.0,135.0,22973.0,HN
2024-04-24,PNJ,75265668.0,76706236.0,161.0,22910.0,DN
2024-06-16,DOJI,73118953.0,73720847.0,327.0,23348.0,HCM
2024-05-12,DOJI,76637047.0,78040004.0,227.0,23187.0,DN
2024-06-07,SJC,76262275.0,77346943.0,349.0,23301.0,HCM
2024-01-04,DOJI,75512422.0,76658336.0,442.0,22706.0,DN
2024-01-12,SJC,73649150.0,74379379.0,100.0,23164.0,DN
2024-04-09,DOJI,74187784.0,74709065.0,479.0,23473.0,DN
2024-05-16,PNJ,74713697.0,75632293.0,482.0,23241.0,HCM
2024-05-07,SJC,73919424.0,74725505.0,142.0,23443.0,HCM
2024-02-10,PNJ,74303740.0,75203693.0,272.0,23489.0,HN
2024-05-02,DOJI,-9468579.0,74785605.0,187.0,22837.0,HCM
2024-04-10,BTMC,73999284.0,75452384.0,70.0,22902.0,DN
2024-05-07,DOJI,73455129.0,74672233.0,56.0,22906.799909255897,HN
2024-05-30,BTMC,75805709.0,76888826.0,62.0,23402.0,DN
2024-04-03,SJC,73673218.0,74912740.0,205.0,22671.0,DN
2024-03-08,SJC,75782306.0,,378.0,22655.0,DN
2024-03-25,BTMC,73237715.0,73896303.0,321.0,23429.0,HN
2024-03-25,DOJI,74908542.0,76039582.0,213.0,23046.0,HN
2024-03-07,PNJ,73464163.0,74528559.0,493.0,22511.0,HCM
2024-01-31,SJC,73853088.0,75183548.0,460.0,23450.0,HN
2024-03-24,DOJI,76240866.0,77411262.0,314.0,22871.0,HCM
2024-02-22,DOJI,76529337.0,77161365.0,73.0,22903.0,DN
2024-03-10,DOJI,76082972.0,76887196.0,59.0,22741.0,HN
2024-05-02,SJC,74668531.0,75484993.0,112.0,23236.0,DN
2024-05-16,BTMC,73725055.0,74669810.0,165.0,22938.0,HN
2024-02-25,SJC,73317348.0,74000306.0,253.0,22664.0,HN
2024-06-25,SJC,73628177.0,74393480.0,420.0,22802.0,HN
2024-02-25,PNJ,72534707.0,73972548.0,383.0,23141.0,HCM
2024-02-24,PNJ,73878369.0,74705187.0,278.0,22760.0,HN
2024-01-10,PNJ,73436093.0,74241721.0,95.0,22872.0,DN
2024-05-10,DOJI,75545608.0,76212390.0,269.0,23401.0,HN
2024-02-13,BTMC,73721610.0,74305170.0,489.0,22822.0,HN
2024-01-26,SJC,75762779.0,76484676.0,272.0,23452.0,DN
2024-04-22,SJC,75402657.0,76360376.0,286.0,23436.0,HN
2024-05-18,SJC,74684361.0,75674760.0,101.0,23282.0,HCM
2024-02-16,DOJI,73583066.0,74589113.0,66.0,23023.0,HN
2024-03-01,DOJI,73432259.0,74468696.0,312.0,23321.0,HN
2024-05-31,PNJ,75232463.0,76398106.0,409.0,23419.0,HCM
2024-06-11,SJC,75039660.0,76510534.0,449.0,23198.0,HCM
2024-06-23,PNJ,75131383.0,76329983.0,272.0,23062.0,DN
2024-04-29,PNJ,76026362.0,77269450.0,253.0,23082.0,DN
2024-03-24,SJC,76202209.0,77489924.0,461.0,22601.0,DN
2024-02-07,BTMC,72708362.0,73721681.0,60.0,23011.0,HCM
2024-06-13,BTMC,73553493.0,74726736.0,101.0,22610.0,HN
2024-03-14,SJC,74228337.0,75297263.0,456.0,22587.0,DN
2024-04-16,SJC,76201078.0,77294927.0,56.0,23255.0,DN
2024-03-20,SJC,74512760.0,75426620.0,363.0,22520.0,DN
2024-03-20,BTMC,,76047240.0,414.0,22830.0,DN
2024-01-16,BTMC,74007635.0,74685666.0,266.0,22841.0,HCM
2024-02-13,DOJI,76241532.0,77210506.0,138.0,22828.0,HCM
2024-02-17,SJC,73742406.0,75086210.0,444.0,22532.0,HN
2024-02-20,BTMC,72844092.0,74103838.0,172.0,23401.0,HCM
2024-04-16,DOJI,73073452.0,73814305.0,108.0,23143.0,HCM
2024-01-11,BTMC,72664076.0,73384039.0,440.0,23324.0,HN
2024-03-22,BTMC,72858379.0,73943668.0,57.0,23419.0,HCM
2024-02-04,SJC,74900163.0,75586403.0,313.0,23424.0,HN
2024-03-18,PNJ,74881732.0,76211127.0,98.0,23416.0,HCM
2024-06-02,BTMC,74442432.0,75225011.0,199.0,23379.0,HN
2024-03-16,PNJ,74220023.0,75293179.0,385.0,23197.0,DN
2024-01-19,SJC,76887857.0,78052652.0,175.0,22557.0,HN
2024-05-19,SJC,75666506.0,76922181.0,351.0,22595.0,HCM
2024-02-14,PNJ,75255532.0,76583719.0,130.0,22613.0,DN
2024-06-25,BTMC,74945081.0,75946314.0,346.0,22633.0,HN
2024-03-27,PNJ,75275895.0,76099748.0,203.0,23113.0,HN
2024-03-16,DOJI,73957655.0,75309784.0,207.0,23093.0,HCM
2024-04-28,DOJI,73283779.0,74281731.0,190.0,22583.0,HCM
2024-05-16,BTMC,73264134.0,74240245.0,94.0,23454.0,DN
2024-05-13,DOJI,73123258.0,73871982.0,487.0,23470.0,DN
2024-06-10,BTMC,74534014.0,75372781.0,494.0,22855.0,HN
2024-02-28,SJC,74076299.0,75489700.0,272.0,22642.0,DN
2024-05-31,SJC,75898303.0,74667952.0,424.0,22898.0,HN
2024-05-31,SJC,74682252.0,75380555.0,236.0,22985.0,HCM
2024-01-28,BTMC,72378892.0,72884179.0,179.0,23095.0,HCM
2024-04-08,SJC,75891600.0,76656128.0,418.0,23236.0,DN
2024-05-06,SJC,75347296.0,75912221.0,258.0,23137.0,DN
2024-01-24,DOJI,76591481.0,78020299.0,452.0,23288.0,HN
2024-03-13,BTMC,75895958.0,77065889.0,273.0,22702.0,HN
2024-06-01,SJC,75036503.0,76261253.0,220.0,22658.0,DN
2024-05-15,DOJI,72800917.0,74162951.0,370.0,22563.0,HN
2024-03-10,PNJ,75226016.0,75921729.0,109.0,23059.0,DN
2024-06-24,PNJ,74618075.0,75913383.0,95.0,23339.0,HN
2024-05-31,DOJI,74541599.0,75163618.0,190.0,23465.0,HCM
2024-05-19,DOJI,73659625.0,74656065.0,488.0,22605.0,HCM
2024-04-18,DOJI,73281725.0,74607278.0,127.0,23213.0,HCM
2024-04-24,PNJ,76386248.0,77043884.0,446.0,22842.0,HN
2024-05-05,BTMC,75409572.0,76789786.0,190.0,23171.0,HN
2024-06-11,PNJ,74551789.0,75130322.0,445.0,23411.0,HCM
2024-05-14,DOJI,73539538.0,74050632.0,457.0,23150.0,HCM
2024-05-20,SJC,73830288.0,74431695.0,442.0,22539.0,HCM
2024-05-01,SJC,76206000.0,77201916.0,117.0,22506.0,HN
2024-06-23,BTMC,73952634.0,74891597.0,272.0,22625.0,HCM
2024-02-08,PNJ,76407107.0,77112657.0,197.0,22966.0,HN
2024-05-27,DOJI,75860595.0,76805304.0,302.0,22642.0,HN
2024-04-13,PNJ,73316228.0,74792004.0,73.0,23375.0,HN
2024-03-06,PNJ,72793894.0,73858643.0,122.0,22898.0,DN
2024-06-28,SJC,76970658.0,78103974.0,347.0,23408.0,DN
2024-04-03,PNJ,72837913.0,74107955.0,362.0,22617.0,DN
2024-05-04,SJC,74515331.0,75309182.0,256.0,22628.0,HCM
2024-01-13,DOJI,73550201.0,74853529.0,288.0,23301.0,HN
2024-02-24,BTMC,72923780.0,74193079.0,313.0,23182.0,HN
2024-05-25,SJC,75631674.0,76713578.0,55.0,22646.0,HCM
2024-04-26,PNJ,74478192.0,75607890.0,320.0,22599.0,HCM
2024-01-15,PNJ,73552576.0,74778524.0,228.0,22926.0,HN
2024-02-02,BTMC,72954652.0,73548922.0,199.0,23165.0,DN
2024-03-26,PNJ,75446862.0,76526227.0,192.0,22690.0,HN
2024-01-27,DOJI,75021192.0,76189598.0,436.0,22742.0,HN
2024-02-10,BTMC,73841648.0,74648339.0,398.0,23481.0,HCM
2024-03-24,DOJI,73827557.0,74423222.0,183.0,22710.0,DN
2024-05-22,BTMC,75616217.0,76838247.0,236.0,23280.0,HN
2024-04-27,DOJI,75287111.0,76748141.0,255.0,23451.0,HCM
2024-06-22,SJC,74363133.0,75118249.0,92.0,23345.0,HCM
2024-06-07,BTMC,75243792.0,76700047.0,193.0,22515.0,HN
2024-02-05,PNJ,74851878.0,75630054.0,200.0,22584.0,HN
2024-01-21,BTMC,72270846.0,71269996.0,454.0,23322.0,HN
2024-04-27,SJC,75334653.0,76765951.0,196.0,23215.0,DN
2024-04-24,BTMC,73420858.0,74621264.0,336.0,23437.0,HCM
2024-03-02,SJC,73075388.0,74131077.0,121.0,22651.0,HN
2024-02-27,DOJI,75539956.0,76562784.0,208.0,22988.0,HCM
2024-03-12,BTMC,75293705.0,76363831.0,322.0,23435.0,HCM
2024-02-20,BTMC,73991083.0,74815995.0,409.0,23470.0,HN
2024-05-04,BTMC,73849395.0,72824273.0,202.0,23248.0,DN
2024-06-09,BTMC,74148185.0,72866139.0,59.0,23363.0,HN
2024-06-12,BTMC,75966914.0,77403042.0,432.0,22906.799909255897,DN
2024-01-17,DOJI,72997775.0,73787111.0,88.0,22608.0,HN
2024-05-29,BTMC,73616482.0,75096657.0,57.0,23201.0,HCM
2024-02-17,BTMC,75358671.0,76641875.0,492.0,22583.0,DN
2024-02-03,SJC,73570451.0,74090267.0,226.0,22647.0,HCM
2024-01-10,BTMC,72141564.0,73019376.0,465.0,23482.0,HCM
2024-05-10,DOJI,76749534.0,78243712.0,326.0,23075.0,DN
2024-03-01,PNJ,74353751.0,75688551.0,475.0,22944.0,HCM
2024-02-04,PNJ,75595900.0,76205475.0,370.0,22812.0,DN
2024-04-15,DOJI,73779114.0,75162210.0,277.0,22877.0,HN
2024-06-30,PNJ,75445541.0,76535260.0,451.0,22714.0,HCM
2024-05-01,DOJI,76433795.0,77265151.0,428.0,22572.0,DN
2024-01-02,PNJ,73965689.0,74533837.0,435.0,22839.0,DN
2024-01-15,PNJ,73586880.0,74591879.0,379.0,22542.0,DN
2024-03-09,DOJI,75343788.0,76499819.0,272.0,22964.0,HCM
2024-02-29,SJC,75086213.0,75798994.0,413.0,23390.0,DN
2024-01-22,SJC,76652692.0,77602305.0,415.0,22500.0,DN
2024-01-22,SJC,76901529.0,77658897.0,399.0,22958.0,HCM
2024-04-11,BTMC,73808286.0,74713739.0,339.0,23349.0,HN
2024-04-20,SJC,73974250.0,74889008.0,130.0,22686.0,HCM
2024-04-18,BTMC,73406978.0,74862335.0,272.0,22592.0,HN
2024-05-23,BTMC,74821839.0,76068599.0,337.0,23282.0,DN
2024-01-25,BTMC,73194682.0,73953612.0,56.0,22502.0,HN
2024-01-06,PNJ,75860011.0,76674888.0,344.0,22885.0,DN
2024-01-30,BTMC,-7779617.0,75271519.0,87.0,22940.0,DN
2024-04-15,PNJ,76145826.0,77352999.0,66.0,22906.799909255897,HCM
2024-04-22,DOJI,75284851.0,76279551.0,270.0,23403.0,DN
2024-01-15,BTMC,72638873.0,74071682.0,139.0,22917.0,HCM
2024-02-25,DOJI,76732441.0,77390933.0,50.0,22618.0,HN
2024-05-03,PNJ,73436800.0,74290773.0,86.0,23148.0,HN
2024-02-12,SJC,75308912.0,,393.0,23463.0,DN
2024-03-04,PNJ,74848203.0,76284908.0,151.0,22708.0,HN
2024-01-31,DOJI,74605468.0,75387715.0,310.0,22656.0,HN
2024-06-01,SJC,74717534.0,75328896.0,295.0,22635.0,HCM
2024-02-24,DOJI,75801738.0,77009331.0,244.0,23129.0,HN
2024-02-24,BTMC,74693075.0,76087310.0,170.0,22606.0,DN
2024-03-03,BTMC,74169392.0,74995851.0,179.0,23455.0,HCM
2024-03-09,SJC,74241597.0,74935315.0,435.0,23073.0,HCM
2024-02-12,BTMC,74424050.0,75875711.0,379.0,22606.0,HCM
2024-02-12,DOJI,74851811.0,75478290.0,71.0,22712.0,DN
2024-04-03,PNJ,74679431.0,75194865.0,97.0,23171.0,HCM
2024-04-16,PNJ,74136974.0,74821600.0,209.0,22830.0,DN
2024-03-12,PNJ,74001352.0,,427.0,22618.0,HCM
2024-01-12,PNJ,72784821.0,73340430.0,272.0,22841.0,HCM
2024-03-07,PNJ,74309377.0,74826724.0,74.0,22578.0,HN
2024-05-17,DOJI,76539357.0,77070442.0,325.0,22879.0,HN
2024-02-21,BTMC,75780107.0,76799159.0,74.0,22800.0,HN
2024-03-31,DOJI,75504716.0,73756964.0,95.0,23056.0,HCM
2024-05-16,SJC,75300986.0,76559812.0,256.0,23279.0,HN
2024-06-30,PNJ,75893669.0,77112801.0,175.0,23420.0,DN
2024-05-30,BTMC,72369349.0,,497.0,23253.0,HN
2024-02-26,PNJ,73670439.0,74967096.0,390.0,22628.0,DN
2024-01-07,SJC,75908926.0,77101443.0,329.0,23336.0,DN
2024-02-10,PNJ,73338003.0,74125657.0,451.0,22942.0,HCM
2024-03-22,PNJ,75746145.0,76327961.0,297.0,22753.0,HCM
2024-03-22,PNJ,,77035731.0,171.0,23149.0,HN
2024-01-04,PNJ,74370230.0,75471891.0,265.0,23304.0,HN
2024-01-02,BTMC,74557489.0,75782328.0,437.0,22501.0,HN
2024-02-03,DOJI,74466471.0,75186649.0,67.0,23268.0,DN
2024-02-04,BTMC,74694946.0,75229857.0,137.0,22577.0,HCM
2024-02-04,DOJI,75666757.0,76455102.0,309.0,23137.0,HN
2024-06-27,BTMC,72428556.0,73558063.0,475.0,23120.0,HCM
2024-03-29,DOJI,76758809.0,77386604.0,142.0,22905.0,HCM
2024-04-03,BTMC,72699539.0,73926341.0,206.0,22701.0,HCM
2024-06-17,DOJI,73136430.0,73914696.0,236.0,22530.0,DN
2024-06-07,PNJ,73000201.0,74002438.0,208.0,22883.0,HCM
2024-04-25,SJC,74538814.0,75116891.0,58.0,23476.0,HN
2024-01-03,SJC,74584398.0,75572277.0,264.0,22751.0,DN
2024-04-18,SJC,75347693.0,76670206.0,331.0,23252.0,HN
2024-05-24,DOJI,74311252.0,75262235.0,456.0,23067.0,HN
2024-05-01,BTMC,75800986.0,76390995.0,452.0,22747.0,HN
2024-04-28,BTMC,74219484.0,74953715.0,453.0,22528.0,HCM
2024-02-03,DOJI,74590380.0,75263912.0,335.0,22643.0,HCM
2024-04-20,PNJ,72639227.0,73863706.0,205.0,23437.0,DN
2024-06-08,DOJI,74103659.0,75531933.0,459.0,23470.0,HN
2024-03-13,PNJ,73385421.0,73969501.0,425.0,23416.0,HN
2024-01-18,SJC,74332397.0,75010201.0,217.0,22669.0,HCM
2024-04-15,SJC,73193069.0,74507673.0,214.0,22601.0,HCM
2024-05-09,BTMC,73497404.0,74697299.0,256.0,22547.0,DN
2024-02-16,PNJ,72823390.0,73586969.0,109.0,22834.0,HN
2024-05-01,SJC,73738096.0,74491187.0,132.0,23396.0,HCM
2024-06-14,SJC,73962454.0,74954272.0,126.0,23423.0,HCM
2024-04-08,DOJI,73442613.0,74486238.0,347.0,22819.0,DN
2024-04-17,PNJ,74417160.0,75549496.0,108.0,22589.0,HN
2024-01-15,DOJI,74855723.0,75507559.0,446.0,22906.799909255897,HN
2024-04-12,PNJ,73459131.0,74327397.0,170.0,23076.0,DN
2024-05-17,SJC,73521396.0,74127082.0,137.0,22755.0,HCM
2024-04-13,BTMC,74332621.0,74955727.0,285.0,23372.0,HCM
2024-02-19,PNJ,75438199.0,76544990.0,444.0,22563.0,HCM
2024-03-27,BTMC,74677747.0,75313312.0,169.0,23433.0,HCM
2024-01-07,PNJ,73966976.0,74822504.0,173.0,22686.0,DN
2024-01-01,PNJ,73739911.0,74518078.0,180.0,23161.0,HCM
2024-04-12,PNJ,72580811.0,73859939.0,369.0,22656.0,HCM
2024-02-05,BTMC,74475539.0,75514423.0,342.0,23433.0,HN
