id,name,rate,price,link_product,Loại Tivi,Kích cỡ màn hình,Độ phân giải,Loại màn hình,Hệ điều hành,Chất liệu chân đế,Chất liệu viền tivi,Nơi sản xuất,Năm ra mắt
10,Smart Tivi QLED Samsung AI 4K 43 inch QA43Q7FA,4.9,11.400.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-43-inch-qa43q7fa,Smart Tivi QLED,43 inch,4K (Ultra HD),"Đèn nền: LED viền (Edge LED), LED viền (Edge LED)",Tizen™,Nhựa,Nhựa,Việt Nam,2025
11,Smart Tivi QLED Samsung AI 4K 65 inch QA65Q7FA,4.9,17.450.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-65-inch-qa65q7fa,Smart Tivi QLED,65 inch,4K (Ultra HD),"Đèn nền: LED viền (Edge LED), LED viền (Edge LED)",Tizen™,Nhựa,Nhựa,Việt Nam,2025
12,Smart Tivi QLED Samsung 4K 43 inch QA43Q65D,4.9,12.400.000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-43-inch-qa43q65d,Smart Tivi QLED,43 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2024
13,Smart Tivi QLED Samsung 4K 55 inch QA55Q6FA,4.9,12.990.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q6fa?utm_flashsale=1,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED viền (Edge LED), LED viền (Edge LED)",Tizen™,Nhựa,Nhựa,Việt Nam,2025
14,Smart Tivi QLED Samsung 4K 55 inch QA55Q60C,4.9,15.700.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-55-inch-samsung-qa55q60c,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD",Tizen™,Nhựa,Nhựa,Việt Nam,2023
15,Smart Tivi QLED Samsung AI 4K 75 inch QA75Q8F5,4.9,26.950.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-ai-4k-75-inch-qa75q8f5,Smart Tivi QLED,75 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, LED viền kết hợp Dual LED",Tizen™,Nhựa,Nhựa,Việt Nam,2025
16,Smart Tivi QLED Samsung 4K 43 inch QA43Q60C,5.0,12.500.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-43-inch-samsung-qa43q60c,Smart Tivi QLED,43 inch,4K (Ultra HD),"Đèn nền: LED viền kết hợp Dual LED, Tấm nền: VA LCD, LED viền kết hợp Dual LED, VA LCD",Tizen™,Nhựa,Nhựa,Việt Nam,2023
17,Smart Tivi QLED Samsung AI 4K 75 inch QA75Q80D,4.9,39.200.000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-75-inch-qa75q80d,Smart Tivi QLED,75 inch,4K (Ultra HD),"Đèn nền: LED nền (Full Array LED), LED nền (Full Array LED)",Tizen™,Kim loại,Kim loại,Việt Nam,2024
18,Smart Tivi QLED Samsung 4K 65 inch QA65Q6FA,4.9,14.990.000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-samsung-4k-65-inch-qa65q6fa?utm_flashsale=1,Smart Tivi QLED,65 inch,4K (Ultra HD),"Đèn nền: LED viền (Edge LED), LED viền (Edge LED)",Tizen™,Nhựa,Nhựa,Việt Nam,2025
19,Smart Tivi QLED Samsung AI 4K 55 inch QA55Q80B,4.9,23.400.000,https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q80b,Smart Tivi QLED,55 inch,4K (Ultra HD),"Đèn nền: LED nền (Full Array LED), Tấm nền: VA LCD, LED nền (Full Array LED), VA LCD",Tizen™,Kim loại,Kim loại,Việt Nam,2022
