name,location,price,area,time
"Hot! Bán CC tại The Zenpark, đường Đông Dư, Gia Lâm, Hà Nội, 2,65 tỷ, 26,9 m2","Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","2,65 tỷ ~98,51 triệu/m²","26,9 m²",
"E có 1000m2 đất vườn giá rẻ tại Đông Xuân, Quốc Oai Hà Nội dành cho các bác làm nhà vườn nghỉ dưỡng","Xã Đông Xuân, Quốc Oai, Hà Nội",3 tỷ ~3 triệu/m²,1.000 m² Mặt tiền 25 m,
"Chính chủ cần bán gấp lô góc 100m2 ngay DT416, nằm ở trung tâm Xã, ngay Thị Xã Sơn Tây, gần CNC","Đường Quốc lộ 21A(Quốc lộ 21), Phường Kim Sơn, Sơn Tây, Hà Nội",20 triệu/m² ~2 tỷ,100 m² Mặt tiền 8 m,
chính chủ gửi bán lô đất vàng sinh lời cao khu dân cư đông đúc vị trí đắc địa trung tâm phú cát,"Hoà Thạch, Hòa Thạch, Quốc Oai, Hà Nội","2,5 tỷ ~15,53 triệu/m²",161 m² Mặt tiền 6 m,
"Bán đất Hòa Lạc đẹp như mơ, giá lại bất ngờ!","Đường 21, Xã Cổ Đông, Sơn Tây, Hà Nội","2,2 tỷ ~22 triệu/m²",100 m² Mặt tiền 6.3 m,
"duy nhất 1 lô 2.9tỷ trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,full thổ cư,2 oto tránh nhau","Xã Cổ Đông, Sơn Tây, Hà Nội","28 triệu/m² ~2,8 tỷ",100 m² Mặt tiền 6 m,
Quỹ căn hộ view hồ CK ngay 14% GTCH giá chỉ 90tr/m² tại tòa The Palma - Lumière Orient Pearl,"Dự án Lumière Orient Pearl, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","90 triệu/m² ~2,53 tỷ","28,1 m²",
Quỹ Căn Liền Kề Biệt Thự Vinhomes Cổ Loa 15/10/2025 - Sở Hữu Lâu Dài,"Vinhomes Global Gate, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội","19 tỷ ~301,59 triệu/m²",63 m²,
Cập nhật quỹ chuyển nhượng tháng 10/2025) Vinhomes Cổ Loa (sổ đỏ lâu dài) giá tốt nhất dự án,"Dự án Vinhomes Global Gate, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội","19 tỷ ~301,59 triệu/m²",63 m² Mặt tiền 5 m,
"Quỹ căn độc quyền Noble Palace Tây Thăng Long, Hoàng Quốc Việt - giá 10,5 tỷ nhận nhà cuối năm 2025","Noble Palace Tây Thăng Long, Đường Tây Thăng Long, Xã Tân Lập, Đan Phượng, Hà Nội","10,5 tỷ ~190,91 triệu/m²",55 m² Mặt tiền 5 m,
QUỸ CĂN CHUYỂN NHƯỢNG ĐỘC QUYỀN GIÁ RẺ CHUNG CƯ SUNSHINE GOLDEN RIVER TÂY HỒ - EM HOÀNG 0965 100 ***,"Sunshine Golden River, Phú Thượng, Tây Hồ, Hà Nội","14 tỷ ~113,82 triệu/m²",123 m²,
"Quỹ căn rẻ nhất Vinhomes Global Cổ Loa 63m2 giá 18.5 tỷ, 67.5m2 22 tỷ 75m2 25 tỷ, LH: 0931 186 ***","Dự án Vinhomes Global Gate, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội","18,5 tỷ ~293,65 triệu/m²",63 m² 5 tầng,
"Bán căn liền kề đẹp xuất sắc tại Vinhomes Ocean Park Gia Lâm, 17 tỷ, 67,5m2","Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội","17 tỷ ~251,85 triệu/m²","67,5 m² Mặt tiền 5 m",
"Quỹ căn ngoại giao trực tiếp CĐT Vinhomes chiết khấu 13,8% hỗ trợ vay 70% trong 24 tháng tặng 100tr","Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","18,1 tỷ ~150,83 triệu/m²",120 m²,
"Lk 96m2 giá 14,7 tỷ, 144m2 giá 21,5 tỷ, biệt thự 228m2 giá 31 tỷ. Quỹ căn đẹp và rẻ nhất thị trường","Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội","14,7 tỷ ~153,12 triệu/m²",96 m² Mặt tiền 8 m,
"Băn căn shop chân đế. Mặt sảnh, cạnh đường lớn cho thuê dòng tiền 70triệu/tháng","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","15,8 tỷ ~198,49 triệu/m²","79,6 m²",
Quỹ căn hộ chuyển nhượng độc quyền giá rẻ Times City tháng 10/2025 - Em Giang: 0971 255 ***,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","10,2 tỷ ~107,37 triệu/m²",95 m²,
Mua nhà tặng xe điện VF8/VF9. Cập nhật quỹ hàng tháng 10 trực tiếp CĐT Vin Đan Phượng,"Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội","15,6 tỷ ~150 triệu/m²",104 m² Mặt tiền 8 m,
"Bán nhà Đầm Trấu, đắc địa, dòng tiền 18tr/tháng tại Đầm Trấu, mặt thoáng trước sau","Đường Đầm Trấu, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội","17 tỷ ~404,76 triệu/m²",42 m² Mặt tiền 4.6 m,
Cực sốc quỹ căn Liền kề - Biệt thự Hinode Royal Park chỉ từ 130 triệu/m2. Sổ đỏ sẵn giao dịch ngay,"Hinode Royal Park, Quốc lộ 32, Di Trạch, Hoài Đức, Hà Nội","14,5 tỷ ~152,63 triệu/m²",95 m² Mặt tiền 5 m,
"CHỦ NHÀ CẦN TIỀN BÁN GẤP - SHOPHOUSE CHÂN ĐẾ VỊ TRÍ VÀNG, GÓC MẶT SẢNH GIÁ CHỈ 120TR/M2","Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội","120 triệu/m² ~19,56 tỷ",163 m² Mặt tiền 10 m,
Chính chủ gửi bán căn 2N 77m2 tầng cao view đẹp nội thất giá tốt nhất thị trường Mipec Rubik 360,"Dự án Mipec Rubik 360, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","10,5 tỷ ~136,36 triệu/m²",77 m²,
"GIÁ CỰC TỐT, BÁN CĂN GÓC 3PN 108.8M VIEW THOÁNG TẠI MIPEC RUBIK GIÁ 14TY2 CẦM SỔ ĐỎ","Mipec Rubik 360, 122, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","14,2 tỷ ~130,51 triệu/m²","108,8 m²",
Em duyên chuyên quỹ căn 2 - 3PN chung cư Mipec Rubik 360 Xuân Thuỷ! Bao giá tốt nhất thị trường,"Mipec Rubik 360, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","10 tỷ ~129,03 triệu/m²","77,5 m²",
GIẢM 2 TỶ BÁN GẤP -- MẶT PHỐ LÝ THƯỜNG KIỆT -- ĐƯỜNG THÔNG VỈA HÈ 4M -- TẶNG GPXD 7 TẦNG,"Phố Lý Thường Kiệt, Phường Quang Trung, Hà Đông, Hà Nội","10,6 tỷ ~302,86 triệu/m²",35 m² Mặt tiền 3.75 m,
"Siêu phẩm liền kề Vinhomes Cổ Loa vị trí đắc địa, sinh lời cao","Vinhomes Global Gate, Cổ Loa, Đông Hội, Đông Anh, Hà Nội","19,6 tỷ ~311,11 triệu/m²",63 m² Mặt tiền 5 m,
HOT ! Sẵn quỹ căn trục 09- 10 toà F3 . Liên hệ nhận bảng giá ngay !,"Sun Feliza Suites, Phạm Hùng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội","11 tỷ ~148,65 triệu/m²",74 m²,
