title,price,price_text,area,location,bedrooms,city,link
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-trang-viet/can-ban-lo-me-linh-52m-dan-cu-dong-duc-chi-hon-2-ty-pr43055207
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,N/A
"Cần bán lô Tráng Việt, Mê Linh 47.9m2, dân cư đông đúc, chỉ 2.25 tỷ",2.25,"2,25 tỷ","·47,9 m²","Tráng Việt, Mê Linh",N/A,Hà Nội,N/A
Không có tiêu đề,2.25,"2,25 tỷ","·47,9 m²",Hà Nội,N/A,Hà Nội,N/A
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-lien-xa-xa-hoa-thach/can-ban-4-thua-so-hong-cong-chung-gia-chi-hon-1-ty-1-lo-tai-quoc-oai-ha-noi-pr41209744
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-lien-xa-xa-hoa-thach/can-ban-4-thua-so-hong-cong-chung-gia-chi-hon-1-ty-1-lo-tai-quoc-oai-ha-noi-pr41209744
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,N/A
"Cần bán thửa đất sổ hồng công chứng giá chỉ 2,25 tỷ, đất tại Hòa Thạch, Quốc Oai, Hà Nội",2.25,"2,25 tỷ",·150 m²,"Hòa Thạch, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.25,"2,25 tỷ",·150 m²,Hà Nội,N/A,Hà Nội,N/A
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-thi-tran-quang-minh/ban-tho-cu-tai-2-ty-37-m2-phap-ly-day-du-dep-nhieu-tien-ich-pr44190461
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-thi-tran-quang-minh/ban-tho-cu-tai-2-ty-37-m2-phap-ly-day-du-dep-nhieu-tien-ich-pr44190461
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,N/A
"Bán đất thổ cư tại Quang Minh, 2 tỷ, 37 m2, pháp lý đầy đủ, đẹp, nhiều tiện ích",2.1,"2,1 tỷ",·37 m²,"Quang Minh, Mê Linh",N/A,Hà Nội,N/A
Không có tiêu đề,2.1,"2,1 tỷ",·37 m²,Hà Nội,N/A,Hà Nội,N/A
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-phu-man-1-xa-phu-cat-1/sieu-pham-lo-2-mat-truoc-sau-ap-phan-o-to-tranh-dt-165-3m-o-75m-mt-10m-gia-2-975ty-pr44004029
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-phu-man-1-xa-phu-cat-1/sieu-pham-lo-2-mat-truoc-sau-ap-phan-o-to-tranh-dt-165-3m-o-75m-mt-10m-gia-2-975ty-pr44004029
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
"Siêu phẩm lô đất 2 mặt đường trước, sau, áp phan ô tô tránh DT 165,3m đất ở 75m2 MT 10m giá 2,975tỷ",2.98,"2,98 tỷ","·165,3 m²","Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.98,"2,98 tỷ","·165,3 m²",Hà Nội,N/A,Hà Nội,N/A
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21a-xa-phu-cat-1/22-trieu-m2-ban-100m2-gan-quoc-oai-ha-noi-pr44273085
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-duong-21a-xa-phu-cat-1/22-trieu-m2-ban-100m2-gan-quoc-oai-ha-noi-pr44273085
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
"22 triệu/m2 bán đất 100m2 gần đường 21A, Phú Cát, Quốc Oai, Hà Nội",2.2,"2,2 tỷ",·100 m²,"Phú Cát, Quốc Oai",N/A,Hà Nội,N/A
Không có tiêu đề,2.2,"2,2 tỷ",·100 m²,Hà Nội,N/A,Hà Nội,N/A
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-nam-phuong-tien/ban-dau-gia-72m2-xuan-mai-ha-noi-mat-6m-gan-quoc-lo-21-gia-dau-tu-pr44282418
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-nam-phuong-tien/ban-dau-gia-72m2-xuan-mai-ha-noi-mat-6m-gan-quoc-lo-21-gia-dau-tu-pr44282418
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,N/A
"Bán đất đấu giá 72m2 Nam Phương Tiến Xuân Mai Hà Nội, mặt tiền 6m, gần Quốc Lộ 21 giá đầu tư",2.9,"2,9 tỷ",·72 m²,"Nam Phương Tiến, Chương Mỹ",N/A,Hà Nội,N/A
Không có tiêu đề,2.9,"2,9 tỷ",·72 m²,Hà Nội,N/A,Hà Nội,N/A
"Bán gấp đất nền 100m2, 2,3 tỷ tại Xã Phú Cát, Quốc Oai, Hà Nội",2.3,"2,3 tỷ",100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-gap-nen-100m2-2-3-ty-tai-quoc-oai-ha-noi-pr44281452
"Bán gấp đất nền 100m2, 2,3 tỷ tại Xã Phú Cát, Quốc Oai, Hà Nội",2.3,"2,3 tỷ",100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
"Bán gấp đất nền 100m2, 2,3 tỷ tại Xã Phú Cát, Quốc Oai, Hà Nội",2.3,"2,3 tỷ",100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.3,"2,3 tỷ",100 m²,Hà Nội,N/A,Hà Nội,N/A
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21",2.0,2 tỷ,100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/hang-f0-chinh-chu-2ty-100m2-full-tho-cu-so-do-cnc-hoalac-tien-6m-gan-cho-ql21-trung-tam-hanh-chinh-pr44255749
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21",2.0,2 tỷ,100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
"Hàng F0 chính chủ 2 tỷ/100m2 full thổ cư sổ đỏ CNC Hoà Lạc, MT 6m, oto tránh nhau, gần chợ, QL21",2.0,2 tỷ,100 m²,"·
Quốc Oai, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.0,2 tỷ,100 m²,Hà Nội,N/A,Hà Nội,N/A
"Quỹ căn đầu tư giá rẻ phân khu Sapphire, Zenpark, Masteri, Zurich, Beverly,LD,PR Vinhomes OceanPark",2.9,"2,9 tỷ",43 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-chu-dau-tu-1pn-3pn-tot-vinmes-oceanpark-phan-khu-sapphire-zenpark-masteri-pr43712145
"Quỹ căn đầu tư giá rẻ phân khu Sapphire, Zenpark, Masteri, Zurich, Beverly,LD,PR Vinhomes OceanPark",2.9,"2,9 tỷ",43 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
"Quỹ căn đầu tư giá rẻ phân khu Sapphire, Zenpark, Masteri, Zurich, Beverly,LD,PR Vinhomes OceanPark",2.9,"2,9 tỷ",43 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.9,"2,9 tỷ",43 m²,Hà Nội,1,Hà Nội,N/A
"Ban quản lý dự án Vinhomes quỹ căn tháng 10 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian",2.75,"2,75 tỷ",43 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-dao-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/b-qu-ly-du-quy-thg-8-chinh-chu-studio-1pn-2pn-3pn-mien-phi-trung-gi-pr43844963
"Ban quản lý dự án Vinhomes quỹ căn tháng 10 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian",2.75,"2,75 tỷ",43 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
"Ban quản lý dự án Vinhomes quỹ căn tháng 10 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian",2.75,"2,75 tỷ",43 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.75,"2,75 tỷ",43 m²,Hà Nội,1,Hà Nội,N/A
"Chính chủ cần bán: Studio 1,63 tỷ, 1PN 2,9 tỷ. 2PN 3,9tỷ. 3PN 5,1tỷ tại Vinhomes Smart City",2.43,"2,43 tỷ",32 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-studio-1-7-ty-1pn-2-8-ty-2pn-3-9ty-3pn-4-8ty-tai-city-pr44212299
"Chính chủ cần bán: Studio 1,63 tỷ, 1PN 2,9 tỷ. 2PN 3,9tỷ. 3PN 5,1tỷ tại Vinhomes Smart City",2.43,"2,43 tỷ",32 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
"Chính chủ cần bán: Studio 1,63 tỷ, 1PN 2,9 tỷ. 2PN 3,9tỷ. 3PN 5,1tỷ tại Vinhomes Smart City",2.43,"2,43 tỷ",32 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.43,"2,43 tỷ",32 m²,Hà Nội,1,Hà Nội,N/A
"Quỹ căn giá tốt nhất thị trường phân khu Paris,London,Beverly,zurich cập nhật tháng 10/2025",2.35,"2,35 tỷ",29 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-tot-nhat-thi-truong-phan-khu-paris-london-beverly-zurich-cap-nhat-thang-10-2025-pr44277773
"Quỹ căn giá tốt nhất thị trường phân khu Paris,London,Beverly,zurich cập nhật tháng 10/2025",2.35,"2,35 tỷ",29 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
"Quỹ căn giá tốt nhất thị trường phân khu Paris,London,Beverly,zurich cập nhật tháng 10/2025",2.35,"2,35 tỷ",29 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.35,"2,35 tỷ",29 m²,Hà Nội,1,Hà Nội,N/A
QUỸ CĂN MỚI NHẤT THÁNG 10/2025 - PHÂN KHU SAPPHIRE VINHOMES OCEAN PARK,2.35,"2,35 tỷ",27 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-moi-nhat-thang-10-2025-phan-khu-sapphire-park-pr44278128
QUỸ CĂN MỚI NHẤT THÁNG 10/2025 - PHÂN KHU SAPPHIRE VINHOMES OCEAN PARK,2.35,"2,35 tỷ",27 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
QUỸ CĂN MỚI NHẤT THÁNG 10/2025 - PHÂN KHU SAPPHIRE VINHOMES OCEAN PARK,2.35,"2,35 tỷ",27 m²,"·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.35,"2,35 tỷ",27 m²,Hà Nội,1,Hà Nội,N/A
"Siêu hot tôi bán 08 CH : Stu 1,76 tỷ 1PN 2,9 tỷ 2PN 3,6tỷ 2PN + 4,2 tỷ 3PN 4,95 tỷ tại Smat city",2.3,"2,3 tỷ",30 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/sieu-hot-toi-ban-8ch-stu-1-76ty-1pn-2-9ty-2pn-3-6ty-2pn-4-2-ty-3pn-4-95ty-gia-ban-trong-tuan-vhsm-pr44160036
"Siêu hot tôi bán 08 CH : Stu 1,76 tỷ 1PN 2,9 tỷ 2PN 3,6tỷ 2PN + 4,2 tỷ 3PN 4,95 tỷ tại Smat city",2.3,"2,3 tỷ",30 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
"Siêu hot tôi bán 08 CH : Stu 1,76 tỷ 1PN 2,9 tỷ 2PN 3,6tỷ 2PN + 4,2 tỷ 3PN 4,95 tỷ tại Smat city",2.3,"2,3 tỷ",30 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.3,"2,3 tỷ",30 m²,Hà Nội,1,Hà Nội,N/A
"Bán gấp căn studio tòa S302, 30.8m2, 2tỷ535 full đồ xịn, Đông Nam, Vinhomes Smart City",2.54,"2,54 tỷ",32 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-stu-34-9m2-dttt-31-8-gia-1-55-ty-full-do-xin-dong-nam-city-pr39802787
"Bán gấp căn studio tòa S302, 30.8m2, 2tỷ535 full đồ xịn, Đông Nam, Vinhomes Smart City",2.54,"2,54 tỷ",32 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
"Bán gấp căn studio tòa S302, 30.8m2, 2tỷ535 full đồ xịn, Đông Nam, Vinhomes Smart City",2.54,"2,54 tỷ",32 m²,"·
Nam Từ Liêm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.54,"2,54 tỷ",32 m²,Hà Nội,1,Hà Nội,N/A
"Em Thúy bán 09 căn hộ mới các căn studio, 1PN +, 2PN, 3PN Masteri West Heights giá từ 2 tỷ 350",2.35,"2,35 tỷ","30,4 m²","·
Nam Từ Liêm, Hà Nội",N/A,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-masteri-west-heights/em-thuy-ban-09-moi-cac-studio-1pn-2pn-3pn-gia-tu-2-ty-350-pr43639834
"Em Thúy bán 09 căn hộ mới các căn studio, 1PN +, 2PN, 3PN Masteri West Heights giá từ 2 tỷ 350",2.35,"2,35 tỷ","30,4 m²","·
Nam Từ Liêm, Hà Nội",N/A,Hà Nội,N/A
"Em Thúy bán 09 căn hộ mới các căn studio, 1PN +, 2PN, 3PN Masteri West Heights giá từ 2 tỷ 350",2.35,"2,35 tỷ","30,4 m²","·
Nam Từ Liêm, Hà Nội",N/A,Hà Nội,N/A
Không có tiêu đề,2.35,"2,35 tỷ","30,4 m²",Hà Nội,N/A,Hà Nội,N/A
"Hot! Bán CC tại The Zenpark, đường Đông Dư, Gia Lâm, Hà Nội, 2,65 tỷ, 26,9 m2",2.65,"2,65 tỷ","26,9 m²","·
Gia Lâm, Hà Nội",1,Hà Nội,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-du-1-thi-tran-trau-quy-prj-the-zenpark/hot-ban-cc-tai-gia-lam-ha-noi-2-65-ty-26-9-m2-pr44274660
"Hot! Bán CC tại The Zenpark, đường Đông Dư, Gia Lâm, Hà Nội, 2,65 tỷ, 26,9 m2",2.65,"2,65 tỷ","26,9 m²","·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
"Hot! Bán CC tại The Zenpark, đường Đông Dư, Gia Lâm, Hà Nội, 2,65 tỷ, 26,9 m2",2.65,"2,65 tỷ","26,9 m²","·
Gia Lâm, Hà Nội",1,Hà Nội,N/A
Không có tiêu đề,2.65,"2,65 tỷ","26,9 m²",Hà Nội,1,Hà Nội,N/A
