name,location,price,area,time
"Siêu hot tôi bán 08 CH : Stu 1,76 tỷ 1PN 2,9 tỷ 2PN 3,6tỷ 2PN + 4,2 tỷ 3PN 4,95 tỷ tại Smat city","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,3 tỷ ~76,67 triệu/m²",30 m²,
"Bán gấp căn studio tòa S302, 30.8m2, 2tỷ535 full đồ xịn, Đông Nam, Vinhomes Smart City","Dự án The Sapphire - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.","2,54 tỷ ~79,22 triệu/m²",32 m²,
"Em Thúy bán 09 căn hộ mới các căn studio, 1PN +, 2PN, 3PN Masteri West Heights giá từ 2 tỷ 350","Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","2,35 tỷ ~77,3 triệu/m²","30,4 m²",
"Hot! Bán CC tại The Zenpark, đường Đông Dư, Gia Lâm, Hà Nội, 2,65 tỷ, 26,9 m2","Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","2,65 tỷ ~98,51 triệu/m²","26,9 m²",
"E có 1000m2 đất vườn giá rẻ tại Đông Xuân, Quốc Oai Hà Nội dành cho các bác làm nhà vườn nghỉ dưỡng","Xã Đông Xuân, Quốc Oai, Hà Nội",3 tỷ ~3 triệu/m²,1.000 m² Mặt tiền 25 m,
"Bán đất tại Sơn Đông - Hoà Lạc giá 3,5 tỷ, 100m2, mặt tiền 6m, pháp lý sổ đỏ, ngay khu phát triển","Xã Sơn Đông, Sơn Tây, Hà Nội","3,5 tỷ ~35 triệu/m²",100 m² Mặt tiền 6 m,
Cập nhật liên tục quỹ căn rẻ nhất 1PN - 2PN - 3PN The Zurich Vinhomes Ocean Park Gia Lâm,"Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","4,8 tỷ ~69,56 triệu/m²",69 m²,
"Cắt lỗ 300 triệu chính chủ cần bán gấp lô 100m² ngay trung tâm xã, khu dân cư đông đúc.","Đường Quốc lộ 21A(Quốc lộ 21), Xã Cổ Đông, Sơn Tây, Hà Nội",3 tỷ ~30 triệu/m²,100 m² Mặt tiền 5 m,
"Bán gấp căn 2PN - 2WC 64.5m2, 4.8 tỷ, tầng đẹp The Tonkin 1, Vin Smart Cỉty.","Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,8 tỷ ~74,42 triệu/m²","64,5 m²",
"ĐẤT NỀN ĐẸP TẠI CỔ ĐÔNG, ĐƯỜNG TRƯỚC ĐẤT HƠN 8m, GIÁ CHỈ 3.x TỶ. LIÊN HỆ NGAY: E HƯỜNG 0976 232 ***","Xã Cổ Đông, Sơn Tây, Hà Nội",30 triệu/m² ~3 tỷ,100 m² Mặt tiền 5.8 m,
BQL Vinhomes Smart City cập nhật quỹ căn: Studio 2tỷ; 1N+ 2.8 tỷ; 2N 3.2 tỷ; 2N+1 4tỷ; 3N 5tỷ,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,6 tỷ ~71,21 triệu/m²","64,6 m²",
"Tôi bán 10CH studio 1.75 tỷ, 1PN 2,9tỷ, 2PN 3.7tỷ, 2PN góc 4.4tỷ, 3PN góc 5.1tỷ Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,4 tỷ ~69,07 triệu/m²","63,7 m²",
"The Senique - CC bán căn 2PN 54,4m2 tòa 2 hướng Tây Bắc view nội khu, giá 4.5 tỷ, đã có HĐMB","Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội","4,5 tỷ ~82,72 triệu/m²","54,4 m²",
"Bán 5 CH Studio-2 tỷ, 1Pn 3 tỷ, 2Pn 54m 3.85 tỷ, 2pn 64m 4.2 tỷ, 3pn 5 tỷ KĐT Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,9 tỷ ~72,22 triệu/m²",54 m²,
"Em Hằng gửi đến quý khách mua nhà tại Vinhomes Ocean Park 1 quỹ căn giá rẻ, tầng đẹp, view sẵn sổ","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","3,65 tỷ ~66,36 triệu/m²",55 m²,
"Ban Q.Lý Vinhomes SmartCity cập nhật quỹ căn: Studio 2tỷ; 1N + 3tỷ; 2N 4tỷ; 2N+1 4,5tỷ; 3N 5tỷ","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4 tỷ ~65,57 triệu/m²",61 m²,
"CHÍNH CHỦ BÁN 10 CH Stu 1,75 tỷ 1PN 2,88tỷ 2PN 3,8 tỷ 2PN + 4,33 tỷ 3PN 5,5 tỷ tại KDT SMART CITY","The Sapphire-Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội","4,3 tỷ ~78,18 triệu/m²",55 m²,
Quỹ Căn CHÍNH CHỦ Giá Tốt Nhất Vinhomes Ocean Park Gia Lâm - VỐN BỎ RA CHỈ HƠN 1 TỶ,"Vinhomes Ocean Park Gia Lâm, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội","3,7 tỷ ~67,27 triệu/m²",55 m²,
CC bán 5CH giá gốc không chênh Studio - 1PN - 2PN - 3PN tòa cao cấp Victoria Smart City Tây Mỗ,"Dự án The Victoria , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","3,67 tỷ ~81,56 triệu/m²",45 m²,
"Mình chính chủ cần bán căn: 2PN + 1, 63.1m2, 4,6 tỷ tòa S, Vinhomes Smart City","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,6 tỷ ~72,9 triệu/m²","63,1 m²",
"Cập nhật bảng giá CC tháng 10 tại Vin OCP chính chủ view đẹp, giá rẻ, đầy đủ pháp lý cần bán gấp","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","3,35 tỷ ~56,78 triệu/m²",59 m²,
"Bán gấp căn hộ 1PN, 1WC tại phân khu Ruby Vinhomes Ocean Park Gia Lâm, 3,9 tỷ, 53m2","Vinhomes Ocean Park Gia Lâm, Đường 179, Xã Dương Xá, Gia Lâm, Hà Nội","3,9 tỷ ~73,58 triệu/m²",53 m²,
"Cạnh Đại Học Quốc Gia Hà Nội, FPT cách công nghệ cao Hòa Lạc 500m, giá 3tỷ DT 110m gần quốc lộ 21.","Xã Thạch Hòa, Thạch Thất, Hà Nội","3 tỷ ~27,27 triệu/m²",110 m² Mặt tiền 7 m,
"Bán đất 72m² Xuân Nộn Đông Anh, MT 4.25m, ngõ thông ô tô, gần trục chính KD, giá đầu tư","Xã Xuân Nộn, Đông Anh, Hà Nội","59,5 triệu/m² ~4,28 tỷ",72 m² Mặt tiền 4.25 m,06/10/2025
"Chính chủ bán 5 CH: 1PN + 3.3 tỷ, 2PN 55m 4.3 tỷ, 2PN + 1 64m 5 tỷ The Sola Park KĐT Vinhomes Smart","Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","5 tỷ ~78,12 triệu/m²",64 m²,
"Phân lô vỉa hè Song Phương 6.2 tỷ, 48m2, sẵn sổ, cạnh ĐL Thăng Long, ga Metro","Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội","6,2 tỷ ~129,17 triệu/m²",48 m² Mặt tiền 3.15 m,14/10/2025
Bán căn hộ Viha Complex Viha Leciva 107 Nguyễn Tuân giá tốt nhất thị trường cập nhật liên tục 24/24,"Viha Complex, 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","92 triệu/m² ~6,62 tỷ",72 m²,
Quỹ căn hộ bán độc quyền giá rẻ chung cư Sunshine City Ciputra - Liên hệ em Hoàng: 0965 100 ***,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","7 tỷ ~71,43 triệu/m²",98 m²,
"Chính chủ bán 5 CH: 1PN + 3.3 tỷ, 2PN 55m 4.3 tỷ, 2PN + 1 64m 5 tỷ The Sola Park KĐT Vinhomes Smart","Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","5 tỷ ~78,12 triệu/m²",64 m²,
"CC bán 10 CH : studio 2.5 tỷ, 1Pn+ 3.65 tỷ , 2Pn 4.5 tỷ , 2PN+1 5 tỷ kđt Vinhomes Smart City Tây Mỗ","Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","5 tỷ ~78,12 triệu/m²",64 m²,
"Bán gấp căn 2PN + , diện tích 62,3m2, 5.3 tỷ bao phí, Masteri West Heights (nhà mới 100%)","Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","5,3 tỷ ~85,07 triệu/m²","62,3 m²",
CHÍNH CHỦ cần bán gấp căn 2PN góc Đông Nam giá tốt nhất Vin Ocean Park. Tòa Beverly,"Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội","5,2 tỷ ~69,33 triệu/m²",75 m²,
"Nóng hổi em Giang quỹ căn độc quyền, chiết khấu 10,5%, HTLS 0% trong 18th, quà tân gia may mắn","Dự án Imperial Plaza, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội","7 tỷ ~97,22 triệu/m²",72 m²,
"Độc quyền quỹ căn CDT: 2PN/ 2+1 PN/ 3PN tầng đẹp, view thoáng, giá tốt nhất dự án Melody Linh Đàm","Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội","6,3 tỷ ~70,35 triệu/m²","89,55 m²",
"Hot! Căn góc Tứ Hiệp Plaza full nội thất, ở ngay 3PN, 2VS. Giá chỉ nhỉnh 50 triệu/1m2","Dự án Tứ Hiệp Plaza, Xã Tứ Hiệp, Thanh Trì, Hà Nội","52 triệu/m² ~6,5 tỷ",125 m²,
"The Senique - Chính Chủ bán căn 2PN góc 81,3m2 tòa Sen 1 hướng TB, đơn giá chỉ 75tr/m2 đã có HĐMB","Dự án Chung cư The Senique Hanoi , Xã Dương Xá, Gia Lâm, Hà Nội","6,1 tỷ ~75,03 triệu/m²","81,3 m²",
"Em chính chủ bán căn 97m2 toà Park 2 tầng đẹp nhất dự án, căn em mua để ở nên hoàn thiện rất kỹ","Dự án Eurowindow River Park, Đường 5, Xã Đông Hội, Đông Anh, Hà Nội","5,92 tỷ ~61,03 triệu/m²",97 m²,
Hàng hiếm Căn hộ 3PN VIEW SÔNG Giá rẻ nhất The Paris diện tích 74m/80m 5.59 tỷ Vinhomes Oeanpark,"Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","5,59 tỷ ~69,88 triệu/m²",80 m²,
"Bán đất nền DA đẹp tại KĐTM Đại Kim - Định Công, Hoàng Mai, Hà Nội, từ 65-135 triệu/m2, 80-100m2","KĐTM Đại Kim - Định Công, Phố Trần Điền, Phường Đại Kim, Hoàng Mai, Hà Nội","65 triệu/m² ~5,2 tỷ",80 m²,
"chỉ 136 triệu/m² nhà Vĩnh Hưng 4 tầng mới cứng 5 phòng ngủ, cách ô tô 30m - sđcc - ở ngay","Đường Nguyễn Khoái, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội","6 tỷ ~136,36 triệu/m²",44 m² Mặt tiền 4 m,
"Trưởng phòng kinh doanh bán gấp quỹ căn chuyển nhượng 423 Minh Khai 2PN, LH xem nhà 0913 484 ***","Imperia Sky Garden, 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội","6 tỷ ~80,18 triệu/m²","74,83 m²",
"CẬP NHẬT 5 TÒA Y4,Y5,M1,M2,M3 CHUYỂN NHƯỢNG MIK CỔ LOA (CÓ QUỸ BANK GIẢM 4%) 24/7 ,0917 136 ***","Dự án Imperia Signature Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội","95 triệu/m² ~6,46 tỷ",68 m²,
NHỈNH 5TỶ 364M2 FULL THỔ CƯ ĐẤT ĐẤU GIÁ HOÀNG VĂN THỤ CHƯƠNG MỸ HÀ NỘI,"21A, Hoàng Văn Thụ, Chương Mỹ, Hà Nội","5,1 tỷ ~14,01 triệu/m²",364 m² Mặt tiền 20 m,
"Gia đình cần tiền bán gấp mảnh đất 14,5triệu/m2 mặt đường lớn rẻ hơn khu vực","Phú Mãn, Quốc Oai, Hà Nội","14,5 triệu/m² ~5,8 tỷ",400 m² Mặt tiền 15 m,
Chính chủ cắt lỗ căn 07B vs 01B dự án Bluegem Tower,"BlueGem Tower, Nguyễn Bặc, Tứ Hiệp, Thanh Trì, Hà Nội","6,3 tỷ ~66,32 triệu/m²",95 m²,
"Bán gấp quỹ căn độc quyền rẻ 1PN/2PN/3PN, view đẹp, dự án Kepler - L/h: 0866 836 ***","Dự án Tháp đôi Kepler Land, Phường Mỗ Lao, Hà Đông, Hà Nội","7,6 tỷ ~89,62 triệu/m²","84,8 m²",
"Bán gấp căn 3PN - DT 80.1m2, 7.3 tỷ, tòa B Vinhomes Marteri West Heights Tây Mỗ","Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","7,3 tỷ ~91,14 triệu/m²","80,1 m²",
"Lumiere Orient Pearl: Độc quyền quỹ VIP 2PN - 3PN view đẹp giá tốt, CK cao. LH 0862 200 ***","Dự án Lumière Orient Pearl, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội","9,2 tỷ ~96,74 triệu/m²","95,1 m²",
"Hot. Độc quyền quỹ căn đẹp nhất chung cư Sun Cầu Giấy, hàng CĐT và hàng ngoại giao chiết khấu cao","Dự án Sun Feliza Suites, Đường Phạm Hùng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","9,6 tỷ ~137,14 triệu/m²",70 m²,
Quỹ căn hộ bán độc quyền giá rẻ chung cư Sunshine City Ciputra - Liên hệ em Hoàng: 0965 100 ***,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","7 tỷ ~71,43 triệu/m²",98 m²,
"FULL BẢNG GIÁ, CSBH DỰ ÁN THE QUEEN 360 GIẢI PHÓNG, CHIẾT KHẤU ĐẾN 10,5%, GIÁ CHỈ TỪ 7,X TỶ/CĂN","The Queen, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội","8 tỷ ~88,89 triệu/m²",90 m²,
"HOT! Suất ngoại giao CH 2PN, 3PN, 4PN tầng đẹp 12,16;18,20,28,35 tại tòa F2,F3,F5 Sun Feliza Suites","Dự án Sun Feliza Suites, Đường Phạm Hùng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","8,5 tỷ ~123,19 triệu/m²",69 m²,
Đừng bỏ lỡ cơ hội đầu tư vàng tại dự án Lancaster Luminaire 1152 Đường Láng - Gọi ngay : 0833 679 ***,"Lancaster Luminaire, Láng, Láng Thượng, Đống Đa, Hà Nội","7,5 tỷ ~166,67 triệu/m²",45 m²,
Bán liền kề biệt thự dự án Phú Thị Riverside trực tiếp chủ đầu tư LH em Thuỷ 0903 289 ***,"Phú Thị Riverside, Xã Phú Sơn, Gia Lâm, Hà Nội","9,8 tỷ ~132,79 triệu/m²","73,8 m² Mặt tiền 5 m",
"Bán 3 ngủ 121m2 GOLDMARK CITY 136 Hồ Tùng Mậu, Hà Nội","Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội","9,8 tỷ ~80,99 triệu/m²",121 m²,
"Trực Tiếp CĐT Mở Bán Căn Hộ 2PN. 3PN với dt 76m. 82m. 102m.. giá bán 7,4tỷ và 8tỷ. Ck10,5%","The Queen, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội","7,4 tỷ ~97,37 triệu/m²",76 m²,
"Chính chủ cần bán lô góc 6 tầng thang máy Định Công 31m2 mặt tiền 3.3m 8,85 tỷ","Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội","8,85 tỷ ~285,48 triệu/m²",31 m² Mặt tiền 3.3 m,12/10/2025
Em duyên chuyên quỹ căn 2 - 3PN chung cư Mipec Rubik 360 Xuân Thuỷ! Bao giá tốt nhất thị trường,"Mipec Rubik 360, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","10 tỷ ~129,03 triệu/m²","77,5 m²",
"Chỉ từ 7,xtỷ sở hữu ngay CH tại dự án The Queen 360 Giải Phóng chiết khấu 10,5%, HTLS 0% 18 tháng","The Queen, 360, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội","7,3 tỷ ~96,05 triệu/m²",76 m²,
"Bán Đất đẹp Đường Yên Lộ, Yên Nghĩa, Hà Đông, Hà Nội, 7,8 tỷ, 67 m2, Chính chủ, giá tốt ,2 mặt tiền","Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội","7,8 tỷ ~116,42 triệu/m²",67 m² Mặt tiền 6 m,
"Nóng hổi em Giang quỹ căn độc quyền, chiết khấu 10,5%, HTLS 0% trong 18th, quà tân gia may mắn","Dự án Imperial Plaza, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội","7 tỷ ~97,22 triệu/m²",72 m²,
"Chính chủ bán nhà 5 tầng ô tô tránh ngõ 205 Xuân Đỉnh 31m², full nội thất, sổ đỏ 7.8 tỷ","Ngách 102, ngõ 205,Xuân Đỉnh, Bắc Từ Liêm, Hà Nội","7,8 tỷ ~251,61 triệu/m²",31 m² Mặt tiền 5.3 m,
"Trung tâm Hà Nội, ô tô tránh, đất tại 144 ngõ 56 Phố Thạch Cầu, 119 triệu / m2, 66.6 m2, giá rẻ","144 ngõ 56, Phố Thạch Cầu, Phường Long Biên, Long Biên, Hà Nội","119 triệu/m² ~7,92 tỷ","66,6 m² Mặt tiền 5 m",
